description,industry,level,size,line_code,value,Unit,Footnotes
How far ahead of the business's goals: don't know,"Professional, scientific, & technical services",1,total,C0400.05,96,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: don't know,Computer systems design,2,total,C0400.05,57,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: don't know,Other professional scientific,2,total,C0400.05,42,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: don't know,Administrative & support services,1,total,C0400.05,21,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: don't know,Education & training,1,total,C0400.05,84,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: don't know,Health care & social assistance,1,total,C0400.05,81,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: don't know,Arts & recreation services,1,total,C0400.05,0,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: don't know,Other services,1,total,C0400.05,105,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: don't know,total,0,total,C0400.05,2508,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,total,0,6019 employees,C0400.06,5244,Number of businesses,1 and 2 and 3 and 4 and 6
How far ahead of the business's goals: no goals set for the business,total,0,20049 employees,C0400.06,606,Number of businesses,1 and 2 and 3 and 4 and 6
How far ahead of the business's goals: no goals set for the business,total,0,50099 employees,C0400.06,99,Number of businesses,1 and 2 and 3 and 4 and 6
How far ahead of the business's goals: no goals set for the business,total,0,100+ employees,C0400.06,51,Number of businesses,1 and 2 and 3 and 4 and 6
How far ahead of the business's goals: no goals set for the business,"Agriculture, forestry, & fishing",1,total,C0400.06,468,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Agriculture,2,total,C0400.06,192,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Commercial fishing,2,total,C0400.06,9,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Forestry & logging,2,total,C0400.06,42,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,"Agriculture, forestry, & fishing support services",2,total,C0400.06,225,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Mining,1,total,C0400.06,12,Number of businesses,1 and 2 and 3 and 5 and 6
How far ahead of the business's goals: no goals set for the business,Manufacturing,1,total,C0400.06,705,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,"Food, beverage, & tobacco",2,total,C0400.06,177,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,"Textile, clothing, footwear, & leather",2,total,C0400.06,45,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Wood & paper product,2,total,C0400.06,72,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,"Printing, publishing, & recorded media",2,total,C0400.06,30,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,"Petroleum, coal, chemical, & associated product",2,total,C0400.06,24,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Non-metallic mineral product,2,total,C0400.06,15,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Metal product,2,total,C0400.06,177,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Transport and industrial machinery & equipment,2,total,C0400.06,84,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Other machinery & equipment,2,total,C0400.06,21,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Other manufacturing,2,total,C0400.06,60,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,"Electricity, gas, water, & waste services",1,total,C0400.06,21,Number of businesses,1 and 2 and 3 and 5 and 6
How far ahead of the business's goals: no goals set for the business,Construction,1,total,C0400.06,744,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Wholesale trade,1,total,C0400.06,234,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Machinery & equipment wholesaling,2,total,C0400.06,66,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Other wholesale trade,2,total,C0400.06,165,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Retail trade,1,total,C0400.06,687,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Accommodation & food services,1,total,C0400.06,1386,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,"Transport, postal, & warehousing",1,total,C0400.06,291,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Information media & telecommunications,1,total,C0400.06,24,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Publishing,2,total,C0400.06,9,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Motion picture,2,total,C0400.06,3,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Telecommunications,2,total,C0400.06,9,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Financial & insurance services,1,total,C0400.06,27,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Finance,2,total,C0400.06,12,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Insurance,2,total,C0400.06,0,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Auxiliary,2,total,C0400.06,15,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,"Rental, hiring, & real estate services",1,total,C0400.06,72,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,"Professional, scientific, & technical services",1,total,C0400.06,360,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Computer systems design,2,total,C0400.06,42,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Other professional scientific,2,total,C0400.06,321,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Administrative & support services,1,total,C0400.06,234,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Education & training,1,total,C0400.06,48,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Health care & social assistance,1,total,C0400.06,309,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Arts & recreation services,1,total,C0400.06,54,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,Other services,1,total,C0400.06,315,Number of businesses,1 and 2 and 3 and 6
How far ahead of the business's goals: no goals set for the business,total,0,total,C0400.06,5997,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,total,0,6019 employees,C0500.01,8253,Number of businesses,1 and 2 and 3 and 4 and 6
Goals mainly developed through formal or informal processes: formal processes,total,0,20049 employees,C0500.01,3510,Number of businesses,1 and 2 and 3 and 4 and 6
Goals mainly developed through formal or informal processes: formal processes,total,0,50099 employees,C0500.01,1497,Number of businesses,1 and 2 and 3 and 4 and 6
Goals mainly developed through formal or informal processes: formal processes,total,0,100+ employees,C0500.01,1509,Number of businesses,1 and 2 and 3 and 4 and 6
Goals mainly developed through formal or informal processes: formal processes,"Agriculture, forestry, & fishing",1,total,C0500.01,1140,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Agriculture,2,total,C0500.01,834,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Commercial fishing,2,total,C0500.01,12,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Forestry & logging,2,total,C0500.01,66,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,"Agriculture, forestry, & fishing support services",2,total,C0500.01,228,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Mining,1,total,C0500.01,48,Number of businesses,1 and 2 and 3 and 5 and 6
Goals mainly developed through formal or informal processes: formal processes,Manufacturing,1,total,C0500.01,1815,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,"Food, beverage, & tobacco",2,total,C0500.01,546,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,"Textile, clothing, footwear, & leather",2,total,C0500.01,84,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Wood & paper product,2,total,C0500.01,156,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,"Printing, publishing, & recorded media",2,total,C0500.01,48,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,"Petroleum, coal, chemical, & associated product",2,total,C0500.01,246,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Non-metallic mineral product,2,total,C0500.01,66,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Metal product,2,total,C0500.01,198,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Transport and industrial machinery & equipment,2,total,C0500.01,249,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Other machinery & equipment,2,total,C0500.01,114,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Other manufacturing,2,total,C0500.01,108,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,"Electricity, gas, water, & waste services",1,total,C0500.01,93,Number of businesses,1 and 2 and 3 and 5 and 6
Goals mainly developed through formal or informal processes: formal processes,Construction,1,total,C0500.01,1386,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Wholesale trade,1,total,C0500.01,1383,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Machinery & equipment wholesaling,2,total,C0500.01,399,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Other wholesale trade,2,total,C0500.01,984,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Retail trade,1,total,C0500.01,1227,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Accommodation & food services,1,total,C0500.01,993,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,"Transport, postal, & warehousing",1,total,C0500.01,636,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Information media & telecommunications,1,total,C0500.01,237,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Publishing,2,total,C0500.01,87,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Motion picture,2,total,C0500.01,75,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Telecommunications,2,total,C0500.01,75,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Financial & insurance services,1,total,C0500.01,477,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Finance,2,total,C0500.01,162,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Insurance,2,total,C0500.01,33,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Auxiliary,2,total,C0500.01,285,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,"Rental, hiring, & real estate services",1,total,C0500.01,411,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,"Professional, scientific, & technical services",1,total,C0500.01,2100,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Computer systems design,2,total,C0500.01,525,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Other professional scientific,2,total,C0500.01,1578,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Administrative & support services,1,total,C0500.01,711,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Education & training,1,total,C0500.01,582,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Health care & social assistance,1,total,C0500.01,1083,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Arts & recreation services,1,total,C0500.01,213,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,Other services,1,total,C0500.01,231,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: formal processes,total,0,total,C0500.01,14772,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,total,0,6019 employees,C0500.02,22119,Number of businesses,1 and 2 and 3 and 4 and 6
Goals mainly developed through formal or informal processes: informal processes,total,0,20049 employees,C0500.02,4680,Number of businesses,1 and 2 and 3 and 4 and 6
Goals mainly developed through formal or informal processes: informal processes,total,0,50099 employees,C0500.02,936,Number of businesses,1 and 2 and 3 and 4 and 6
Goals mainly developed through formal or informal processes: informal processes,total,0,100+ employees,C0500.02,537,Number of businesses,1 and 2 and 3 and 4 and 6
Goals mainly developed through formal or informal processes: informal processes,"Agriculture, forestry, & fishing",1,total,C0500.02,2178,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Agriculture,2,total,C0500.02,1458,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Commercial fishing,2,total,C0500.02,36,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Forestry & logging,2,total,C0500.02,153,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,"Agriculture, forestry, & fishing support services",2,total,C0500.02,531,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Mining,1,total,C0500.02,63,Number of businesses,1 and 2 and 3 and 5 and 6
Goals mainly developed through formal or informal processes: informal processes,Manufacturing,1,total,C0500.02,2901,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,"Food, beverage, & tobacco",2,total,C0500.02,507,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,"Textile, clothing, footwear, & leather",2,total,C0500.02,126,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Wood & paper product,2,total,C0500.02,294,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,"Printing, publishing, & recorded media",2,total,C0500.02,123,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,"Petroleum, coal, chemical, & associated product",2,total,C0500.02,180,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Non-metallic mineral product,2,total,C0500.02,129,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Metal product,2,total,C0500.02,624,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Transport and industrial machinery & equipment,2,total,C0500.02,615,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Other machinery & equipment,2,total,C0500.02,102,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Other manufacturing,2,total,C0500.02,204,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,"Electricity, gas, water, & waste services",1,total,C0500.02,93,Number of businesses,1 and 2 and 3 and 5 and 6
Goals mainly developed through formal or informal processes: informal processes,Construction,1,total,C0500.02,5307,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Wholesale trade,1,total,C0500.02,1614,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Machinery & equipment wholesaling,2,total,C0500.02,486,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Other wholesale trade,2,total,C0500.02,1125,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Retail trade,1,total,C0500.02,3156,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Accommodation & food services,1,total,C0500.02,4395,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,"Transport, postal, & warehousing",1,total,C0500.02,771,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Information media & telecommunications,1,total,C0500.02,198,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Publishing,2,total,C0500.02,93,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Motion picture,2,total,C0500.02,66,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Telecommunications,2,total,C0500.02,36,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Financial & insurance services,1,total,C0500.02,189,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Finance,2,total,C0500.02,39,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Insurance,2,total,C0500.02,3,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Auxiliary,2,total,C0500.02,147,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,"Rental, hiring, & real estate services",1,total,C0500.02,561,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,"Professional, scientific, & technical services",1,total,C0500.02,2730,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Computer systems design,2,total,C0500.02,423,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Other professional scientific,2,total,C0500.02,2307,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Administrative & support services,1,total,C0500.02,897,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Education & training,1,total,C0500.02,549,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Health care & social assistance,1,total,C0500.02,1527,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Arts & recreation services,1,total,C0500.02,300,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,Other services,1,total,C0500.02,837,Number of businesses,1 and 2 and 3 and 6
Goals mainly developed through formal or informal processes: informal processes,total,0,total,C0500.02,28272,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,total,0,6019 employees,C0601.01,1986,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: never,total,0,20049 employees,C0601.01,279,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: never,total,0,50099 employees,C0601.01,63,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: never,total,0,100+ employees,C0601.01,24,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: never,"Agriculture, forestry, & fishing",1,total,C0601.01,465,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Agriculture,2,total,C0601.01,423,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Commercial fishing,2,total,C0601.01,6,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Forestry & logging,2,total,C0601.01,6,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,"Agriculture, forestry, & fishing support services",2,total,C0601.01,27,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Mining,1,total,C0601.01,15,Number of businesses,1 and 2 and 3 and 5 and 6
Frequency of incorporation of the requirements of: customers: never,Manufacturing,1,total,C0601.01,141,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,"Food, beverage, & tobacco",2,total,C0601.01,21,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,"Textile, clothing, footwear, & leather",2,total,C0601.01,0,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Wood & paper product,2,total,C0601.01,21,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,"Printing, publishing, & recorded media",2,total,C0601.01,9,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,"Petroleum, coal, chemical, & associated product",2,total,C0601.01,6,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Non-metallic mineral product,2,total,C0601.01,6,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Metal product,2,total,C0601.01,30,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Transport and industrial machinery & equipment,2,total,C0601.01,21,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Other machinery & equipment,2,total,C0601.01,0,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Other manufacturing,2,total,C0601.01,27,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,"Electricity, gas, water, & waste services",1,total,C0601.01,3,Number of businesses,1 and 2 and 3 and 5 and 6
Frequency of incorporation of the requirements of: customers: never,Construction,1,total,C0601.01,666,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Wholesale trade,1,total,C0601.01,90,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Machinery & equipment wholesaling,2,total,C0601.01,18,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Other wholesale trade,2,total,C0601.01,69,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Retail trade,1,total,C0601.01,153,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Accommodation & food services,1,total,C0601.01,330,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,"Transport, postal, & warehousing",1,total,C0601.01,84,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Information media & telecommunications,1,total,C0601.01,15,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Publishing,2,total,C0601.01,6,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Motion picture,2,total,C0601.01,6,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Telecommunications,2,total,C0601.01,0,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Financial & insurance services,1,total,C0601.01,36,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Finance,2,total,C0601.01,9,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Insurance,2,total,C0601.01,0,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Auxiliary,2,total,C0601.01,27,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,"Rental, hiring, & real estate services",1,total,C0601.01,48,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,"Professional, scientific, & technical services",1,total,C0601.01,117,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Computer systems design,2,total,C0601.01,36,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Other professional scientific,2,total,C0601.01,84,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Administrative & support services,1,total,C0601.01,63,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Education & training,1,total,C0601.01,45,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Health care & social assistance,1,total,C0601.01,15,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Arts & recreation services,1,total,C0601.01,12,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,Other services,1,total,C0601.01,48,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: never,total,0,total,C0601.01,2352,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,total,0,6019 employees,C0601.02,4443,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: sometimes,total,0,20049 employees,C0601.02,954,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: sometimes,total,0,50099 employees,C0601.02,240,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: sometimes,total,0,100+ employees,C0601.02,162,Number of businesses,1 and 2 and 3 and 4 and 6
Frequency of incorporation of the requirements of: customers: sometimes,"Agriculture, forestry, & fishing",1,total,C0601.02,582,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Agriculture,2,total,C0601.02,444,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Commercial fishing,2,total,C0601.02,3,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Forestry & logging,2,total,C0601.02,30,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,"Agriculture, forestry, & fishing support services",2,total,C0601.02,105,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Mining,1,total,C0601.02,9,Number of businesses,1 and 2 and 3 and 5 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Manufacturing,1,total,C0601.02,627,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,"Food, beverage, & tobacco",2,total,C0601.02,120,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,"Textile, clothing, footwear, & leather",2,total,C0601.02,21,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Wood & paper product,2,total,C0601.02,72,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,"Printing, publishing, & recorded media",2,total,C0601.02,39,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,"Petroleum, coal, chemical, & associated product",2,total,C0601.02,66,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Non-metallic mineral product,2,total,C0601.02,24,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Metal product,2,total,C0601.02,111,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Transport and industrial machinery & equipment,2,total,C0601.02,96,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Other machinery & equipment,2,total,C0601.02,18,Number of businesses,1 and 2 and 3 and 6
Frequency of incorporation of the requirements of: customers: sometimes,Other manufacturing,2,total,C0601.02,57,Number of businesses,1 and 2 and 3 and 6
